Comment,Designator,Footprint,LCSC
"100nF","C1,C2,C4,C10,C13,C15,C16,C18","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C2312829"
"22uF","C17","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C76634"
"1uF","C19","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C77079"
"47nF","C20","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C1777"
"10uF","C3,C5","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C440198"
"470uF","C6","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","C165494"
"220nF","C7,C8,C11,C12","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C86042"
"1nF","C9,C14","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C46553"
"R","D1,D2","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C19171391"
"CLP6C-FKB-CKNPRGJBB7A363","D3","CLP6C-FKB-CKNPRGJBB7A363:CLP6C-FKB-CKNPRGJBB7A363_CRE","C7107714"
"USB_B_Micro","J1","Connector_USB:USB_Micro-B_Amphenol_10118193-0001LF_Horizontal","C132562"
"RJ45","J2","54601-908WPLF:AMPHENOL_54601-908WPLF","C598568"
"XT60PW-M","J6","Connector_AMASS:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","C98732"
"XT60PW-F","J7","Connector_AMASS:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal","C428722"
"B4B-XH-A_LF__SN_","J9","Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical","C157999"
"1k","R1,R2,R5,R6,R11,R12,R14","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C75245"
"60","R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C2767521"
"10k","R7,R8,R9,R10,R13","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C25612"
"TS09-63-25-WT-160-SMT-TR","SW1,SW2","TS09_63_25_WT_160_SMT_TR:SW_TS09-63-25_CUD","C4364712"
"~","U1","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","C2448355"
"SN65HVD232Q","U2","TJA1050T_CM_118:SOIC127P600X175-8N","C2859712"
"LD1086DT33TR","U3","LDO_AZ1117ID-3.3TRG1:TO252-2_AZ1117ID-3.3TRG1_DIO-L","C12051"
"BTN8962TA","U4,U5","footprints:PG-TO263-7-1_INF-M","C534738"
"ESP32-S3-WROOM-1","U6","RF_Module:ESP32-S3-WROOM-1","C2913198"